Length, Lonelys, Total, Ratio
2,	59,	139,	0.4244604317
3,	489,	1294,	0.3778979907
4,	2204,	4994,	0.4413295955
5,	5475,	9972,	0.5490373045
6,	11216,	17462,	0.6423090139
7,	17954,	23713,	0.7571374352
8,	25021,	29842,	0.8384491656
9,	28734,	32286,	0.8899832745
10,	28742,	30824,	0.9324552297
11,	24909,	25963,	0.9594037669
12,	19889,	20447,	0.972709933
13,	14673,	14923,	0.9832473363
14,	9621,	9761,	0.9856572073
15,	5832,	5922,	0.9848024316
16,	3307,	3377,	0.9792715428
17,	1769,	1813,	0.9757308329
18,	822,	842,	0.9762470309
19,	414,	428,	0.9672897196
20,	192,	198,	0.9696969697
21,	74,	82,	0.9024390244
22,	37,	41,	0.9024390244
23,	17,	17,	1
24,	5,	5,	1